Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
15,3250518136,"ООО СЗ ""МЕГАПОЛИС-СТРОЙ""",БРЯНСКАЯ,Среднее предприятие,"241037, БРЯНСКАЯ, БРЯНСКИЙ, ПУТЕВКА, ОКРУЖНАЯ, 22",1555.283,880.942,1062.727,56.64191018612047,53.2568022,34.3178661,"53.256802,34.317866",address
16,7723906368,"ООО ""ВИК""",МОСКОВСКАЯ,Малое предприятие,"142000, МОСКОВСКАЯ, ДОМОДЕДОВО, КАШИРСКОЕ ШОССЕ, 17А, 9",9768.765,844.748,1085.063,8.647439057035356,55.4448879,37.7676565,"55.444888,37.767656",address
17,6658217878,"ООО ""ВОЗРОЖДЕНИЕ ЕКАТЕРИНБУРГА""",СВЕРДЛОВСКАЯ,Малое предприятие,"620014, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ХОХРЯКОВА, 48, ОФИС 254",,833.103,793.811,,56.8313477,60.5922601,"56.831348,60.59226",address
18,2315120129,"ООО ""НОВОКОМ""",КРАСНОДАРСКИЙ,Малое предприятие,"353900, КРАСНОДАРСКИЙ, НОВОРОССИЙСК, СОВЕТОВ, 55, 4",3063.356,781.7,1008.229,25.517765483345716,44.7166865,37.7788984,"44.716686,37.778898",address
19,1001010821,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СК ""ВЕК""",КАРЕЛИЯ,Среднее предприятие,"185001, КАРЕЛИЯ, ПЕТРОЗАВОДСК, ПЕРВОМАЙСКИЙ, 43",480.345,714.171,18.822,148.67876213971206,61.7899921,34.3417075,"61.789992,34.341708",address
20,5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,"140090, МОСКОВСКАЯ, ЛЮБЕРЦЫ, ДЗЕРЖИНСКИЙ, УГРЕШСКАЯ, 30, 700",1287.757,704.973,709.323,54.74425687455009,55.6317148,37.8646181,"55.631715,37.864618",address
21,7840438730,"ООО ""ЛЕГЕНДА""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"196210, САНКТ-ПЕТЕРБУРГ, СТАРТОВАЯ, 8, А, 307 КАБ. 1",2574.338,676.819,1790.022,26.290992091947523,59.8074809,30.3144783,"59.807481,30.314478",address
22,6950108726,"ООО ""ЕСТ""",ТВЕРСКАЯ,Среднее предприятие,"170100, ТВЕРСКАЯ, ТВЕРЬ, СВОБОДНЫЙ, 9, ОФИС 304",3325.415,672.759,803.997,20.23082833270434,56.8578166,35.9039605,"56.857817,35.90396",address
23,1901096758,"ООО ""СЗ ""УК ТРАНССТРОЙ""",ХАКАСИЯ,Малое предприятие,"655016, ХАКАСИЯ, АБАКАН, ДРУЖБЫ НАРОДОВ, 43, 422Н",1032.548,672.116,888.392,65.0929545164002,53.744376,91.4152164,"53.744376,91.415216",address
24,6164029673,"ООО ""РОСТОВ-ДЕВЕЛОПМЕНТ""",ПЕРМСКИЙ,Малое предприятие,"614113, ПЕРМСКИЙ, ПЕРМЬ, САПФИРНАЯ, 10, 02",0.632,671.021,669.23,106174.20886075949,58.0116332,56.3301229,"58.011633,56.330123",address
25,0276045224,"ООО СП ""ИНИЦИАТИВА"" ОАО ""КПД""",БАШКОРТОСТАН,Малое предприятие,"450098, БАШКОРТОСТАН, УФА, РОССИЙСКАЯ, 157/1, 19А",908.384,646.975,666.234,71.22263271920245,54.7723379,56.0360042,"54.772338,56.036004",address
26,2543028394,"АО ""РЕНЕССАНС АКТИВ""",ПРИМОРСКИЙ,Среднее предприятие,"690042, ПРИМОРСКИЙ, ВЛАДИВОСТОК, АРХАНГЕЛЬСКАЯ, 10, 6, 3Н",37.533,605.287,598.627,1612.6795086990114,43.0780059,131.9512665,"43.078006,131.951266",address
27,4345276039,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОЙСОЮЗ""",КИРОВСКАЯ,Малое предприятие,"610002, КИРОВСКАЯ, КИРОВ, СВОБОДЫ, 110, 1004",1198.81,598.21,844.757,49.90031781516671,58.5926784,49.6768578,"58.592678,49.676858",address
28,1655476201,"ООО СК ""ЭЛЛАДА""",ТАТАРСТАН,Малое предприятие,"420108, ТАТАРСТАН, КАЗАНЬ, МАЗИТА ГАФУРИ, 50, 1",8938.37,584.041,776.141,6.534088429993388,55.7670129,49.1023552,"55.767013,49.102355",address
29,7841444504,"ООО ""СК ЭНЕРГОТЕХСТРОЙ""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"195277, САНКТ-ПЕТЕРБУРГ, КОМИССАРА СМИРНОВА, 15, А, 264, ОФИС 357",3874.449,579.607,696.222,14.959727176690157,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
30,7712103721,"АО ""ТЕПЛОИНДУСТРИЯ""",МОСКВА,Малое предприятие,"107061, МОСКВА, ХРОМОВА, 20",6079.192,561.157,628.324,9.230782643482884,55.7996763,37.7163611,"55.799676,37.716361",address
31,7813294991,"ООО ""ЕВРОИНВЕСТ ДЕВЕЛОПМЕНТ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"191014, САНКТ-ПЕТЕРБУРГ, РЫЛЕЕВА, 11, А, 7-Н, 17-Н",56.283,561.108,554.637,996.9404615958638,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
