ИНН,Компания,Регион,Категория МСП,Год,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %","Рентабельность EBIT, %","Рост чистой прибыли 2021–2025, %",Ранг по чистой прибыли в году,Прибыльная компания,Статус сбора
6315336069,"АО ""ДОРИС""",САМАРСКАЯ,Среднее предприятие,2024,2.758,-4.855,-7.294,-176.03335750543872,-264.46700507614213,-134.67704134245807,8136,False,success_bfo
6315336069,"АО ""ДОРИС""",САМАРСКАЯ,Среднее предприятие,2022,1036.535,3.844,36.504,0.3708509601701824,3.521733467755551,-134.67704134245807,3994,True,success_bfo
6315336069,"АО ""ДОРИС""",САМАРСКАЯ,Среднее предприятие,2025,0.0,-3.699,-5.938,,,-134.67704134245807,7308,False,success_bfo
6315336069,"АО ""ДОРИС""",САМАРСКАЯ,Среднее предприятие,2023,312.052,2.294,13.072,0.7351338879417534,4.189045415507672,-134.67704134245807,4713,True,success_bfo
5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,2025,,118.729,-41.082,,,110.2254014908724,296,True,success_bfo
5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,2021,0.937,56.477,55.953,6027.4279615795085,5971.504802561366,110.2254014908724,471,True,success_bfo
5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,2023,1.353,101.402,32.062,7494.604582409461,2369.6969696969695,110.2254014908724,385,True,success_bfo
5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,2024,0.0,42.263,-92.536,,,110.2254014908724,1038,True,success_bfo
5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,2022,4.312,30.347,-46.392,703.7801484230056,-1075.8812615955471,110.2254014908724,1062,True,success_bfo
3123040930,"АО ""ДСК""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",БЕЛГОРОДСКАЯ,Малое предприятие,2024,46.761,6.548,1.518,14.003122260002995,3.2462949894142556,-2.051033591731266,3189,True,success_bfo
3123040930,"АО ""ДСК""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",БЕЛГОРОДСКАЯ,Малое предприятие,2022,4.987,1.445,2.209,28.975335873270502,44.29516743533186,-2.051033591731266,5493,True,success_bfo
3123040930,"АО ""ДСК""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",БЕЛГОРОДСКАЯ,Малое предприятие,2025,105.596,6.065,-8.269,5.7435887723019805,-7.830789045039585,-2.051033591731266,2790,True,success_bfo
3123040930,"АО ""ДСК""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",БЕЛГОРОДСКАЯ,Малое предприятие,2023,222.337,14.058,26.012,6.322834256106721,11.699357281963865,-2.051033591731266,2072,True,success_bfo
3123040930,"АО ""ДСК""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",БЕЛГОРОДСКАЯ,Малое предприятие,2021,149.06,6.192,10.716,4.154031933449617,7.189051388702536,-2.051033591731266,3024,True,success_bfo
7714046959,"АО ""ДСК-1""",МОСКВА,Малое предприятие,2021,462.493,-105.228,177.951,-22.752344359806525,38.476474238529015,-168.40954878929563,9857,False,success_bfo
7714046959,"АО ""ДСК-1""",МОСКВА,Малое предприятие,2022,51.08,-484.114,-125.719,-947.7564604541894,-246.12176977290522,-168.40954878929563,10224,False,success_bfo
7714046959,"АО ""ДСК-1""",МОСКВА,Малое предприятие,2025,21.966,-282.442,-28.542,-1285.814440498953,-129.93717563507238,-168.40954878929563,8446,False,success_bfo
7714046959,"АО ""ДСК-1""",МОСКВА,Малое предприятие,2023,174.384,-197.226,22.25,-113.09867877786952,12.759198091568033,-168.40954878929563,9637,False,success_bfo
7714046959,"АО ""ДСК-1""",МОСКВА,Малое предприятие,2024,80.532,210.533,-178.337,261.42775542641436,-221.44861669895195,-168.40954878929563,154,True,success_bfo
5263001814,"АО ""ДСК-2""",НИЖЕГОРОДСКАЯ,Малое предприятие,2022,49.923,0.157,-2.001,0.3144843058309797,-4.008172585782104,33.92226148409894,7431,True,success_bfo
