region,companies,companies_with_growth,median_growth_pct,median_net_profit_2025,profitable_share_2025,eligible_for_ranking
КАБАРДИНО-БАЛКАРСКАЯ,19,15,278.89908256880733,2426.0,0.631578947368421,True
АЛТАЙ,11,10,186.2638648523307,2705.5,0.7272727272727273,True
ОРЕНБУРГСКАЯ,67,56,129.2044211215878,3024.0,0.7164179104477612,True
КУРГАНСКАЯ,19,17,113.79310344827587,1738.0,0.7368421052631579,True
НОВГОРОДСКАЯ,22,21,108.7119573056397,1853.5,0.7727272727272727,True
САХА (ЯКУТИЯ),70,52,106.28370167872137,5440.0,0.6857142857142857,True
ЧУВАШСКАЯ РЕСПУБЛИКА -,86,76,104.16518988777756,2117.5,0.7325581395348837,True
ПЕРМСКИЙ,150,129,80.92334494773519,2866.0,0.72,True
ЯМАЛО-НЕНЕЦКИЙ,47,42,74.34719384342158,6285.0,0.7659574468085106,True
ПСКОВСКАЯ,36,35,62.56124721603563,1502.0,0.7222222222222222,True
КУРСКАЯ,48,37,58.8420638046475,2466.0,0.6875,True
ВЛАДИМИРСКАЯ,51,43,56.666666666666664,650.0,0.5686274509803921,True
АДЫГЕЯ,21,20,50.836012981501504,7888.0,0.6666666666666666,True
ТВЕРСКАЯ,66,59,43.87263459255639,1057.0,0.6060606060606061,True
КАЛУЖСКАЯ,79,65,41.915242784052516,1710.0,0.569620253164557,True
ЧЕЧЕНСКАЯ,79,66,36.112024343141286,2503.0,0.7088607594936709,True
САРАТОВСКАЯ,96,70,34.525640922668096,2612.0,0.59375,True
МАРИЙ ЭЛ,31,26,31.106367744766683,3005.0,0.7741935483870968,True
ВОЛГОГРАДСКАЯ,85,74,24.645042842641693,6320.0,0.7294117647058823,True
ОРЛОВСКАЯ,36,31,23.376623376623375,2703.0,0.5555555555555556,True
ИНГУШЕТИЯ,26,20,15.980740684627357,705.0,0.6153846153846154,True
РЯЗАНСКАЯ,83,78,15.96361180964917,2029.0,0.7228915662650602,True
РОСТОВСКАЯ,171,140,15.071615968411184,3646.0,0.6374269005847953,True
ХАКАСИЯ,18,16,14.981283497706496,10884.5,0.7777777777777778,True
ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,119,94,14.539275821822603,3083.0,0.5714285714285714,True
ВОРОНЕЖСКАЯ,166,146,13.923416616484685,2699.5,0.7168674698795181,True
КАЛИНИНГРАДСКАЯ,125,104,12.725622265259366,3385.5,0.584,True
САМАРСКАЯ,247,210,11.341938682664995,669.0,0.6437246963562753,True
БАШКОРТОСТАН,278,205,8.101345010947764,587.0,0.5323741007194245,True
СВЕРДЛОВСКАЯ,354,290,5.437999762747571,2513.0,0.6610169491525424,True
ЧЕЛЯБИНСКАЯ,194,158,4.240278531886192,2966.0,0.6030927835051546,True
ИРКУТСКАЯ,146,120,2.483962711328804,2298.0,0.6506849315068494,True
ИВАНОВСКАЯ,48,46,1.8742586002372512,1252.0,0.6666666666666666,True
ТУЛЬСКАЯ,68,59,1.3225127742711151,1864.5,0.7058823529411765,True
КРАСНОДАРСКИЙ,322,272,1.314741954149441,702.0,0.546583850931677,True
КОМИ,32,27,-0.23306048203728968,1579.0,0.6875,True
ХАБАРОВСКИЙ,95,73,-0.7345782812638287,2745.0,0.6,True
ЛИПЕЦКАЯ,95,76,-2.037689394548323,2582.0,0.7473684210526316,True
БЕЛГОРОДСКАЯ,109,87,-2.7036714629525322,1741.0,0.5504587155963303,True
КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС,92,79,-3.9526764934057406,761.0,0.6413043478260869,True
АСТРАХАНСКАЯ,34,31,-4.45441435667361,604.0,0.5882352941176471,True
ТЮМЕНСКАЯ,183,150,-5.083526267679987,1820.0,0.6229508196721312,True
ЯРОСЛАВСКАЯ,105,92,-6.736887752109617,1258.0,0.6,True
ОМСКАЯ,104,92,-7.833596700373925,2435.0,0.7019230769230769,True
МОСКОВСКАЯ,520,411,-8.969941784483783,1924.0,0.6038461538461538,True
НИЖЕГОРОДСКАЯ,193,152,-9.88939332816799,1355.5,0.5906735751295337,True
БРЯНСКАЯ,61,50,-10.28428801083002,2954.0,0.6229508196721312,True
АЛТАЙСКИЙ,80,65,-10.4847801578354,2448.0,0.625,True
СЕВАСТОПОЛЬ,29,24,-10.740764606118663,4154.5,0.6551724137931034,True
МОСКВА,2145,1398,-16.9499752681421,1750.0,0.5020979020979021,True
ТАТАРСТАН,403,324,-18.235549963496283,900.0,0.5930521091811415,True
КРЫМ,96,84,-18.566100045278453,764.0,0.5520833333333334,True
ЗАБАЙКАЛЬСКИЙ,43,38,-18.916247866027813,1284.0,0.5813953488372093,True
САНКТ-ПЕТЕРБУРГ,849,638,-20.923958090102786,1031.5,0.558303886925795,True
МОРДОВИЯ,52,45,-24.512770850986563,938.5,0.6538461538461539,True
НОВОСИБИРСКАЯ,255,213,-26.141826923076923,1053.0,0.5843137254901961,True
СМОЛЕНСКАЯ,51,45,-29.78723404255319,438.0,0.5294117647058824,True
АМУРСКАЯ,32,29,-31.416400425985092,4191.0,0.6875,True
КАРАЧАЕВО-ЧЕРКЕССКАЯ,22,20,-34.03195328504272,2841.0,0.7272727272727273,True
ТОМСКАЯ,43,30,-37.52566550196318,296.0,0.5116279069767442,True
КИРОВСКАЯ,47,43,-40.17649790989317,3496.0,0.7872340425531915,True
СТАВРОПОЛЬСКИЙ,82,65,-41.85340945852605,870.0,0.5,True
АРХАНГЕЛЬСКАЯ,43,40,-42.15766639342624,203.0,0.6744186046511628,True
ЛЕНИНГРАДСКАЯ,84,71,-45.0289461247637,1779.0,0.6666666666666666,True
УЛЬЯНОВСКАЯ,61,52,-47.36089484400753,749.0,0.5573770491803278,True
КРАСНОЯРСКИЙ,163,149,-52.05660679923027,947.5,0.6319018404907976,True
СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,39,33,-53.7525354969574,2459.5,0.6410256410256411,True
ТАМБОВСКАЯ,34,28,-57.4019748961407,251.0,0.5294117647058824,True
ДАГЕСТАН,77,65,-57.479224376731295,1906.0,0.6623376623376623,True
ПРИМОРСКИЙ,128,111,-57.533112582781456,1782.0,0.5546875,True
САХАЛИНСКАЯ,67,56,-59.59511021845518,673.0,0.5223880597014925,True
КАРЕЛИЯ,31,30,-60.34527125291009,2545.5,0.7419354838709677,True
ПЕНЗЕНСКАЯ,48,39,-61.28992477494142,1169.0,0.625,True
УДМУРТСКАЯ,88,74,-61.640396655617984,248.0,0.5227272727272727,True
ВОЛОГОДСКАЯ,84,69,-64.63481855764815,623.5,0.5119047619047619,True
БУРЯТИЯ,28,26,-66.38355783113381,41.5,0.5,True
КАМЧАТСКИЙ,14,10,-72.65405268241992,925.5,0.42857142857142855,True
КОСТРОМСКАЯ,24,20,-78.23897587643668,16.5,0.4166666666666667,True
МУРМАНСКАЯ,29,23,-96.07418165568093,1537.0,0.4827586206896552,True
САХА /ЯКУТИЯ/,4,2,3185.744365520317,95761.0,0.5,False
ЧУКОТСКИЙ,5,5,254.449423815621,3484.0,0.6,False
МАГАДАНСКАЯ,9,9,61.88976377952756,14036.0,0.8888888888888888,False
КАЛМЫКИЯ,14,8,9.210457052775645,1930.5,0.5,False
ЕВРЕЙСКАЯ,6,4,-0.5872881734296023,-57.0,0.3333333333333333,False
ТЫВА,7,7,-15.674569811109244,1972.0,0.5714285714285714,False
Башкортостан,1,1,-94.05050426080838,761.0,1.0,False
Нижегородская,1,1,-97.38280428841706,249.0,1.0,False
НЕНЕЦКИЙ,4,3,-203.65853658536585,-85.0,0.25,False
